epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.284,1.28519,0.82232,1.23487,0.85205,0.69656,0.75716,0.48876,1.19543,0.67095,1.18806,0.0670067,3.29966e-06,3.29966e-06
2,46.3901,1.22296,0.77591,1.20095,0.91488,0.74598,0.81866,0.56691,0.99474,0.53411,1.07066,0.0336766,6.60016e-06,6.60016e-06
3,66.5903,1.17802,0.7479,1.17861,0.93557,0.7412,0.82201,0.585,0.93879,0.50056,1.04194,0.000346568,9.86766e-06,9.86766e-06
4,86.6676,1.15482,0.72329,1.16707,0.92146,0.75368,0.82557,0.58957,0.92569,0.49332,1.03613,9.8515e-06,9.8515e-06,9.8515e-06
5,106.489,1.15203,0.72695,1.16379,0.91316,0.75914,0.82662,0.5912,0.92183,0.49033,1.03441,9.802e-06,9.802e-06,9.802e-06
6,126.608,1.15017,0.72328,1.16732,0.92281,0.75845,0.82821,0.59302,0.91894,0.48961,1.03319,9.7525e-06,9.7525e-06,9.7525e-06
7,146.535,1.1403,0.71166,1.15903,0.92021,0.76119,0.82958,0.59423,0.91704,0.48899,1.03245,9.703e-06,9.703e-06,9.703e-06
8,166.596,1.14275,0.71834,1.1659,0.91646,0.76119,0.82831,0.59404,0.91367,0.48742,1.03134,9.6535e-06,9.6535e-06,9.6535e-06
9,186.661,1.13491,0.71186,1.15865,0.92054,0.75853,0.82905,0.59586,0.91152,0.48589,1.03066,9.604e-06,9.604e-06,9.604e-06
10,206.533,1.13137,0.70803,1.15341,0.9217,0.7571,0.82887,0.59647,0.90844,0.4838,1.02868,9.5545e-06,9.5545e-06,9.5545e-06
11,226.634,1.13804,0.70813,1.15837,0.91446,0.75768,0.82745,0.59596,0.90834,0.48474,1.02844,9.505e-06,9.505e-06,9.505e-06
12,246.477,1.12681,0.70376,1.1517,0.91851,0.7569,0.82749,0.59798,0.90763,0.48268,1.02822,9.4555e-06,9.4555e-06,9.4555e-06
13,266.309,1.12688,0.70629,1.15125,0.9188,0.75896,0.83015,0.59891,0.90738,0.48206,1.0286,9.406e-06,9.406e-06,9.406e-06
14,286.551,1.13508,0.70757,1.15459,0.9134,0.76238,0.83016,0.59835,0.90511,0.48088,1.02731,9.3565e-06,9.3565e-06,9.3565e-06
15,306.334,1.12157,0.70207,1.1492,0.91637,0.76125,0.83211,0.6017,0.90329,0.47994,1.02632,9.307e-06,9.307e-06,9.307e-06
16,326.416,1.12857,0.69865,1.15382,0.91504,0.76277,0.83249,0.6011,0.90268,0.47766,1.0263,9.2575e-06,9.2575e-06,9.2575e-06
17,346.386,1.12551,0.70594,1.14741,0.9165,0.76161,0.83168,0.60019,0.90019,0.47623,1.02467,9.208e-06,9.208e-06,9.208e-06
18,366.263,1.12243,0.70655,1.15078,0.918,0.76251,0.83389,0.60101,0.89942,0.47503,1.02432,9.1585e-06,9.1585e-06,9.1585e-06
19,386.254,1.10878,0.68593,1.14346,0.91783,0.76021,0.83304,0.60135,0.89739,0.47433,1.02281,9.109e-06,9.109e-06,9.109e-06
20,405.869,1.11241,0.69832,1.14543,0.93082,0.75491,0.83413,0.60115,0.898,0.47429,1.02326,9.0595e-06,9.0595e-06,9.0595e-06
21,425.629,1.10548,0.69501,1.14638,0.93064,0.75657,0.83345,0.60233,0.89764,0.47446,1.02279,9.01e-06,9.01e-06,9.01e-06
22,445.541,1.11627,0.70246,1.14589,0.92546,0.7581,0.83214,0.60206,0.89852,0.47317,1.02368,8.9605e-06,8.9605e-06,8.9605e-06
23,465.264,1.11063,0.69332,1.14428,0.92375,0.7595,0.83194,0.60186,0.89566,0.47284,1.02274,8.911e-06,8.911e-06,8.911e-06
24,485.177,1.09552,0.68496,1.13884,0.92639,0.75928,0.83346,0.60473,0.89535,0.47302,1.02212,8.8615e-06,8.8615e-06,8.8615e-06
25,505.243,1.10989,0.69505,1.1409,0.92538,0.76292,0.83356,0.60444,0.89272,0.47128,1.02072,8.812e-06,8.812e-06,8.812e-06
26,525.206,1.1026,0.69008,1.13916,0.91907,0.76762,0.83485,0.60558,0.89177,0.47015,1.01972,8.7625e-06,8.7625e-06,8.7625e-06
27,545.405,1.10966,0.68557,1.13913,0.90355,0.77853,0.83427,0.6053,0.89122,0.46938,1.02022,8.713e-06,8.713e-06,8.713e-06
28,565.421,1.10962,0.69072,1.14412,0.91134,0.77193,0.83579,0.60514,0.89096,0.46935,1.01984,8.6635e-06,8.6635e-06,8.6635e-06
29,585.54,1.0993,0.68976,1.14005,0.91707,0.76971,0.83404,0.6054,0.89102,0.46863,1.01936,8.614e-06,8.614e-06,8.614e-06
30,605.596,1.10075,0.6884,1.1414,0.91974,0.76558,0.83451,0.60473,0.89316,0.4689,1.02072,8.5645e-06,8.5645e-06,8.5645e-06
31,625.448,1.09946,0.68554,1.13503,0.9079,0.77532,0.83485,0.60648,0.88807,0.46933,1.01808,8.515e-06,8.515e-06,8.515e-06
32,645.616,1.09153,0.68089,1.1348,0.90711,0.77427,0.83487,0.60653,0.88833,0.46806,1.01879,8.4655e-06,8.4655e-06,8.4655e-06
33,665.618,1.08889,0.68078,1.13704,0.91001,0.76937,0.8347,0.60701,0.8882,0.46743,1.01885,8.416e-06,8.416e-06,8.416e-06
34,685.258,1.08913,0.67904,1.13419,0.91806,0.76906,0.83499,0.60798,0.88536,0.46635,1.01712,8.3665e-06,8.3665e-06,8.3665e-06
35,705.472,1.09491,0.68108,1.13608,0.91501,0.76841,0.8339,0.60764,0.88627,0.46719,1.01764,8.317e-06,8.317e-06,8.317e-06
36,725.227,1.09768,0.68286,1.13825,0.91326,0.77245,0.83545,0.60775,0.88621,0.46734,1.01726,8.2675e-06,8.2675e-06,8.2675e-06
37,745.128,1.09779,0.68158,1.13628,0.91764,0.77341,0.8355,0.60885,0.88596,0.46497,1.018,8.218e-06,8.218e-06,8.218e-06
38,765.309,1.0957,0.6811,1.1364,0.92694,0.76519,0.8351,0.60889,0.88572,0.4666,1.01714,8.1685e-06,8.1685e-06,8.1685e-06
39,785.166,1.09322,0.68465,1.13624,0.9254,0.76543,0.83484,0.60807,0.88479,0.46571,1.01648,8.119e-06,8.119e-06,8.119e-06
40,805.353,1.09151,0.67859,1.13405,0.92498,0.76712,0.83626,0.60904,0.88297,0.46558,1.01609,8.0695e-06,8.0695e-06,8.0695e-06
41,825.35,1.08783,0.67671,1.13348,0.92289,0.7719,0.83631,0.60791,0.88486,0.4667,1.01635,8.02e-06,8.02e-06,8.02e-06
42,845.074,1.08727,0.67957,1.13057,0.92339,0.76763,0.8355,0.60813,0.8847,0.46652,1.01655,7.9705e-06,7.9705e-06,7.9705e-06
43,864.991,1.0917,0.67527,1.13669,0.92709,0.76688,0.83614,0.60914,0.88228,0.46547,1.01554,7.921e-06,7.921e-06,7.921e-06
44,884.787,1.08102,0.67554,1.13171,0.90533,0.78193,0.83662,0.60943,0.8816,0.46399,1.01511,7.8715e-06,7.8715e-06,7.8715e-06
45,904.775,1.08336,0.68232,1.1275,0.90901,0.78116,0.83699,0.60905,0.88197,0.46472,1.01476,7.822e-06,7.822e-06,7.822e-06
46,924.503,1.07942,0.67522,1.12603,0.92992,0.76062,0.83682,0.60899,0.88212,0.46623,1.01489,7.7725e-06,7.7725e-06,7.7725e-06
47,944.134,1.07962,0.67413,1.12843,0.92892,0.76055,0.83493,0.60918,0.88164,0.46425,1.01472,7.723e-06,7.723e-06,7.723e-06
48,964.118,1.08863,0.67608,1.13275,0.92805,0.76202,0.83634,0.61038,0.88158,0.46411,1.0143,7.6735e-06,7.6735e-06,7.6735e-06
49,983.882,1.0869,0.68347,1.13149,0.92653,0.76396,0.83676,0.60905,0.8823,0.46431,1.01425,7.624e-06,7.624e-06,7.624e-06
